Applicant_Gender,Manager_Joining_Designation,Manager_Current_Designation,Manager_Grade,Manager_Status,Manager_Gender,Manager_Num_Application,Manager_Num_Coded,Manager_Business,Manager_Num_Products,Business_Sourced,zipcode_grp_x,zipcode_grp_y,Manager_Joining_Quarter,Application_Receipt_Quarter,Manager_Joining_Year,Application_Receipt_Year,Applicant_Marital_Status_M,Applicant_Marital_Status_S,Applicant_Marital_Status_W,Applicant_Occupation_Others,Applicant_Occupation_Salaried,Applicant_Occupation_Self Employed,Applicant_Occupation_Student,Applicant_Qualification_Associate/Fellow of Acturial Society of India,Applicant_Qualification_Associate/Fellow of Institute of Company Secretories of India,Applicant_Qualification_Associate/Fellow of Insurance Institute of India,Applicant_Qualification_Certified Associateship of Indian Institute of Bankers,Applicant_Qualification_Class X,Applicant_Qualification_Class XII,Applicant_Qualification_Graduate,Applicant_Qualification_Masters of Business Administration,Applicant_Qualification_Others,Applicant_Qualification_Professional Qualification in Marketing
0,1,2,3.0,0,0,2.0,1.0,335249.0,28.0,0,0,4,4,2,2005,2007,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,3.0,0,0,2.0,1.0,335249.0,28.0,1,0,4,4,2,2005,2007,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,0.0,0.0,357184.0,24.0,0,0,0,2,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,3,4.0,0,1,0.0,0.0,318356.0,22.0,0,0,0,3,2,2003,2007,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,2.0,1.0,230402.0,17.0,0,0,0,2,2,2006,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,0.0,0.0,247118.0,24.0,1,0,9,1,2,2006,2007,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,0.0,0.0,315119.0,27.0,1,0,9,3,2,2003,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,5.0,4.0,117358.0,9.0,0,0,0,4,2,2006,2007,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,0.0,0.0,244028.0,17.0,1,0,9,4,2,2004,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,3,4.0,0,0,0.0,0.0,851557.0,39.0,1,0,9,3,2,2002,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,0.0,0.0,148789.0,10.0,1,0,4,3,2,2004,2007,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,1,2,3.0,0,0,2.0,3.0,233726.0,14.0,1,0,9,2,2,2006,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,3,4.0,0,0,0.0,0.0,218901.0,13.0,1,0,0,2,2,2004,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,0.0,0.0,395742.0,19.0,0,0,0,1,2,2004,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,3.0,0,0,1.0,2.0,173087.0,10.0,1,0,0,2,2,2006,2007,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,2.0,0,0,0.0,0.0,88414.0,7.0,1,0,9,1,2,2005,2007,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,1.0,2.0,341667.0,14.0,1,0,0,4,2,2002,2007,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
